Keyword Excellent Poor Value 
i 55600000 354000000 -298400000 
like 587000000 313000000 274000000 
the 651000000 340000000 311000000 
word 6580000 191000000 -184420000 
\""hella\"" 3330000 3670000 -340000 
my 473000000 236000000 237000000 
internet 350000000 174000000 176000000 
acting 55100000 75300000 -20200000 
retarted 6630000 11000000 -4370000 
what 590000000 319000000 271000000 
the 651000000 340000000 311000000 
hook 46200000 54900000 -8700000 
gonnn 820 1470 -650 
be 655000000 359000000 296000000 
jamie 19900000 23200000 -3300000 
foxx 2160000 3130000 -970000 
cd 209000000 95400000 113600000 
is 654000000 356000000 298000000 
gonn 6120000 7740000 -1620000 
be 655000000 359000000 296000000 
nice 281000000 138000000 143000000 
eminem 6450000 11900000 -5450000 
be 655000000 359000000 296000000 
spazzin 21800 36400 -14600 
You 484000000 1440000 482560000 
can 637000000 349000000 288000000 
still 565000000 320000000 245000000 
get 513000000 277000000 236000000 
roasted 8840000 6340000 2500000 
because 580000000 315000000 265000000 
Marsh 11400000 14300000 -2900000 
is 654000000 356000000 298000000 
not 654000000 359000000 295000000 
mellow 6780000 5520000 1260000 
i 55600000 354000000 -298400000 
dont 126000000 67400000 58600000 
use 640000000 352000000 288000000 
this 662000000 363000000 299000000 
language 356000000 190000000 166000000 
but 641000000 44200000 596800000 
fuck 75900000 55900000 20000000 
that 632000000 336000000 296000000 
bitch 38000000 66400000 -28400000 
i 55600000 354000000 -298400000 
dont 126000000 67400000 58600000 
need 583000000 316000000 267000000 
you 484000000 1440000 482560000 
no 676000000 374000000 302000000 
more 650000000 361000000 289000000 
What 590000000 319000000 271000000 
you 484000000 1440000 482560000 
gonn 6120000 7740000 -1620000 
do 647000000 367000000 280000000 
its 638000000 347000000 291000000 
a 676000000 359000000 317000000 
must 588000000 324000000 264000000 
that 632000000 336000000 296000000 
you 484000000 1440000 482560000 
could 587000000 327000000 260000000 
ride 104000000 82700000 21300000 
big 390000000 222000000 168000000 
willy 8700000 11700000 -3000000 
you 484000000 1440000 482560000 
gotta 28400000 39000000 -10600000 
be 655000000 359000000 296000000 
able 530000000 280000000 250000000 
to 656000000 64900000 591100000 
suck 36600000 52900000 -16300000 
a 676000000 359000000 317000000 
needle 19200000 22500000 -3300000 
out 630000000 337000000 293000000 
of 652000000 342000000 310000000 
a 676000000 359000000 317000000 
hay 44700000 32500000 12200000 
stack 71600000 24900000 46700000 
officially 30900000 39400000 -8500000 
done 491000000 266000000 225000000 
wit 34900000 42900000 -8000000 
first 640000000 356000000 284000000 
semester 14500000 13300000 1200000 
finishin 126000000 27800000 98200000 
this 662000000 363000000 299000000 
paper 424000000 249000000 175000000 
my 473000000 236000000 237000000 
chargers 9430000 7630000 1800000 
is 654000000 356000000 298000000 
going 436000000 239000000 197000000 
in 658000000 352000000 306000000 
should 608000000 105000000 503000000 
be 655000000 359000000 296000000 
done 491000000 266000000 225000000 
wit 34900000 42900000 -8000000 
my 473000000 236000000 237000000 
outline 44500000 51500000 -7000000 
by 660000000 366000000 294000000 
10 237000000 374000000 -137000000 
might 510000000 291000000 219000000 
be 655000000 359000000 296000000 
pullin 1910000 2110000 -200000 
an 667000000 369000000 298000000 
all 653000000 364000000 289000000 
nighter 293000000 172000000 121000000 
i 55600000 354000000 -298400000 
am 495000000 261000000 234000000 
having 503000000 279000000 224000000 
a 676000000 359000000 317000000 
really 406000000 207000000 199000000 
good 602000000 321000000 281000000 
day 525000000 288000000 237000000 
now 598000000 326000000 272000000 
where 617000000 332000000 285000000 
my 473000000 236000000 237000000 
bros 17400000 21100000 -3700000 
at? 659000000 350000000 309000000 
Luh 731000 372000 359000 
krg 910000 787000 123000 
darah? 1770000 6340000 -4570000 
RT 92800000 47500000 45300000 
Kurang 2590000 2660000 -70000 
darah 1770000 6340000 -4570000 
kayak 9030000 5000000 4030000 
gini 1880000 3440000 -1560000 
toh 2900000 3120000 -220000 
rasanya 911000 1070000 -159000 
+_+ 209000000 114000000 95000000 
Aduh 315000 446000 -131000 
RT 92800000 47500000 45300000 
lee 149000000 103000000 46000000 
joon 1050000 1400000 -350000 
-_- 654000000 343000000 311000000 
aku 7040000 7870000 -830000 
gatau 3190000 14500000 -11310000 
marganya 598 726 -128 
jaehee 16600 21100 -4500 
in 658000000 352000000 306000000 
Haha",," 45500000 68300000 -22800000 
ayo\"" 2780000 3290000 -510000 
siapa 3170000 4480000 -1310000 
lg? 54100000 32400000 21700000 
RT 92800000 47500000 45300000 
oiya 35300 132000 -96700 
ya", 123000000 73400000 49600000 
ada 68200000 18400000 49800000 
jungsu," 6200 9720 -3520 
junsu 284000 250000 34000 
juga 13800000 11500000 2300000 
bisa 7570000 8560000 -990000 
in 658000000 352000000 306000000 
Oh! 243000000 146000000 97000000 
ic 62800000 78300000 -15500000 
ic",," 62800000 78300000 -15500000 
hahaha 20400000 32100000 -11700000 
RT 92800000 47500000 45300000 
kalo 4010000 3750000 260000 
hurup 48400 24400 24000 
j 465000000 258000000 207000000 
nya 10400000 11600000 -1200000 
dihilangin 615 310 305 
jadi 5720000 7100000 -1380000 
blablablabla 45800 41200 4600 
